iter	Passed	Remaining
407	4585	6653
408	4598	6644
409	4608	6631
410	4619	6620
411	4629	6606
412	4638	6593
413	4647	6579
414	4657	6565
415	4668	6554
416	4677	6540
417	4689	6529
418	4699	6515
419	4708	6501
420	4720	6491
421	4729	6477
422	4740	6466
423	4750	6453
424	4760	6440
425	4771	6428
426	4780	6415
427	4791	6403
428	4801	6390
429	4808	6373
430	4816	6359
431	4826	6345
432	4834	6330
433	4844	6317
434	4853	6303
435	4865	6294
436	4875	6281
437	4886	6270
438	4896	6257
439	4906	6244
440	4917	6232
441	4926	6218
442	4935	6205
443	4945	6192
444	4954	6179
445	4966	6169
446	4975	6155
447	4987	6145
448	4996	6132
449	5008	6121
450	5017	6108
451	5027	6095
452	5038	6083
453	5048	6070
454	5059	6060
455	5066	6044
456	5076	6032
457	5088	6021
458	5097	6008
459	5110	5998
460	5119	5985
461	5130	5974
462	5140	5961
463	5149	5949
464	5161	5938
465	5171	5925
466	5179	5911
467	5186	5896
468	5193	5880
469	5202	5866
470	5209	5851
471	5218	5837
472	5227	5824
473	5237	5812
474	5246	5798
475	5257	5787
476	5269	5777
477	5281	5767
478	5291	5755
479	5303	5745
480	5312	5732
481	5319	5717
482	5331	5706
483	5340	5693
484	5352	5683
485	5362	5671
486	5372	5659
487	5381	5646
488	5391	5634
489	5403	5623
490	5412	5611
491	5425	5601
492	5436	5590
493	5446	5579
494	5456	5566
495	5466	5554
496	5477	5543
497	5487	5531
498	5499	5521
499	5509	5509
500	5516	5494
501	5528	5484
502	5537	5471
503	5548	5459
504	5556	5446
505	5566	5434
506	5577	5423
507	5586	5410
508	5598	5400
509	5605	5385
510	5612	5370
511	5621	5357
512	5627	5342
513	5637	5330
514	5647	5318
515	5656	5305
516	5668	5295
517	5675	5280
518	5685	5268
519	5696	5258
520	5705	5245
521	5712	5230
522	5720	5217
523	5730	5205
524	5744	5197
525	5756	5187
526	5769	5178
527	5782	5168
528	5796	5160
529	5808	5150
530	5821	5142
531	5833	5132
532	5848	5124
533	5859	5113
534	5873	5105
535	5890	5099
536	5905	5091
537	5916	5080
538	5928	5070
539	5940	5060
540	5952	5050
541	5966	5042
542	5978	5031
543	5992	5023
544	6001	5010
545	6012	4999
546	6021	4987
547	6035	4978
548	6045	4966
549	6054	4953
550	6065	4942
551	6075	4930
552	6087	4920
553	6101	4912
554	6112	4901
555	6122	4889
556	6131	4876
557	6142	4865
558	6151	4853
559	6162	4841
560	6171	4829
561	6180	4817
562	6190	4804
563	6199	4792
564	6210	4781
565	6218	4768
566	6228	4756
567	6238	4745
568	6249	4733
569	6260	4723
570	6269	4710
571	6286	4703
572	6296	4691
573	6307	4681
574	6316	4668
575	6325	4656
576	6336	4645
577	6345	4633
578	6357	4622
579	6365	4609
580	6374	4597
581	6385	4586
582	6394	4573
583	6405	4562
584	6416	4551
585	6426	4540
586	6435	4527
587	6444	4515
588	6454	4504
589	6463	4491
590	6472	4479
591	6483	4468
592	6492	4456
593	6503	4445
594	6512	4433
595	6521	4420
596	6532	4409
597	6541	4397
598	6552	4386
599	6561	4374
600	6570	4362
601	6581	4351
602	6590	4338
603	6601	4328
604	6610	4315
605	6619	4303
606	6630	4292
607	6639	4280
608	6650	4269
609	6659	4257
610	6668	4245
611	6680	4235
612	6689	4223
613	6700	4212
614	6711	4201
615	6724	4191
616	6733	4179
617	6741	4167
618	6752	4156
619	6761	4144
620	6772	4133
621	6781	4121
622	6789	4108
623	6801	4098
624	6810	4086
625	6822	4075
626	6830	4063
627	6839	4051
628	6850	4040
629	6862	4030
630	6874	4019
631	6883	4008
632	6894	3997
633	6903	3985
634	6912	3973
635	6924	3962
636	6932	3950
637	6943	3939
638	6952	3927
639	6961	3915
640	6972	3905
641	6981	3893
642	6992	3882
643	7001	3870
644	7011	3858
645	7022	3848
646	7030	3835
647	7042	3825
648	7051	3813
649	7060	3801
650	7074	3792
651	7084	3781
652	7097	3771
653	7106	3759
654	7117	3748
655	7126	3737
656	7135	3725
657	7147	3714
658	7156	3703
659	7167	3692
660	7176	3680
661	7187	3669
662	7196	3657
663	7205	3646
664	7217	3635
665	7226	3624
666	7239	3614
667	7248	3602
668	7257	3590
669	7268	3580
670	7277	3568
671	7288	3557
672	7297	3545
673	7306	3534
674	7317	3523
675	7326	3511
676	7337	3500
677	7346	3489
678	7355	3477
679	7366	3466
680	7375	3454
681	7386	3444
682	7395	3432
683	7404	3420
684	7415	3410
685	7424	3398
686	7436	3387
687	7445	3376
688	7454	3364
689	7465	3353
690	7477	3343
691	7489	3333
692	7498	3321
693	7510	3311
694	7519	3299
695	7528	3288
696	7538	3276
697	7547	3265
698	7559	3255
699	7568	3243
700	7580	3233
701	7589	3221
702	7598	3210
703	7611	3200
704	7620	3188
705	7631	3177
706	7640	3166
707	7651	3155
708	7660	3144
709	7669	3132
710	7678	3121
711	7688	3109
712	7699	3099
713	7708	3087
714	7719	3077
715	7728	3065
716	7737	3053
717	7748	3043
718	7756	3031
719	7768	3020
720	7776	3009
721	7785	2997
722	7797	2987
723	7806	2975
724	7818	2965
725	7826	2953
726	7835	2942
727	7846	2931
728	7856	2920
729	7867	2910
730	7877	2898
731	7887	2887
732	7898	2877
733	7907	2865
734	7919	2855
735	7928	2843
736	7936	2832
737	7948	2821
738	7957	2810
739	7968	2799
740	7977	2788
741	7986	2776
742	7995	2765
743	8004	2754
744	8015	2743
745	8024	2732
746	8035	2721
747	8044	2710
748	8053	2698
749	8064	2688
750	8073	2676
751	8084	2666
752	8093	2654
753	8102	2643
754	8113	2632
755	8122	2621
756	8134	2611
757	8142	2599
758	8151	2588
759	8163	2578
760	8172	2566
761	8184	2556
762	8193	2544
763	8203	2534
764	8216	2524
765	8225	2512
766	8237	2502
767	8246	2491
768	8259	2481
769	8268	2469
770	8277	2458
771	8289	2448
772	8298	2437
773	8310	2426
774	8319	2415
775	8331	2404
776	8343	2394
777	8357	2384
778	8368	2374
779	8379	2363
780	8389	2352
781	8399	2341
782	8411	2331
783	8420	2319
784	8430	2309
785	8442	2298
786	8453	2287
787	8463	2276
788	8472	2265
789	8483	2255
790	8492	2243
791	8503	2233
792	8511	2221
793	8521	2210
794	8531	2200
795	8541	2188
796	8552	2178
797	8561	2167
798	8570	2155
799	8580	2145
800	8590	2134
801	8600	2123
802	8610	2112
803	8619	2101
804	8630	2090
805	8639	2079
806	8652	2069
807	8662	2058
808	8673	2047
809	8682	2036
810	8692	2025
811	8703	2015
812	8713	2004
813	8724	1993
814	8733	1982
815	8742	1971
816	8754	1960
817	8763	1949
818	8774	1939
819	8783	1927
820	8792	1917
821	8803	1906
822	8812	1895
823	8823	1884
824	8832	1873
825	8841	1862
826	8852	1851
827	8862	1841
828	8873	1830
829	8882	1819
830	8891	1808
831	8902	1797
832	8910	1786
833	8918	1775
834	8925	1763
835	8931	1752
836	8938	1740
837	8946	1729
838	8953	1718
839	8961	1706
840	8969	1695
841	8976	1684
842	8983	1673
843	8991	1661
844	8998	1650
845	9005	1639
846	9012	1628
847	9021	1617
848	9028	1605
849	9035	1594
850	9045	1583
851	9052	1572
852	9059	1561
853	9068	1550
854	9075	1539
855	9084	1528
856	9092	1517
857	9100	1506
858	9106	1494
859	9115	1483
860	9122	1472
861	9129	1461
862	9136	1450
863	9144	1439
864	9151	1428
865	9157	1417
866	9166	1406
867	9173	1395
868	9182	1384
869	9192	1373
870	9199	1362
871	9206	1351
872	9215	1340
873	9222	1329
874	9229	1318
875	9238	1307
876	9245	1296
877	9252	1285
878	9261	1274
879	9268	1263
880	9275	1252
881	9284	1242
882	9292	1231
883	9299	1220
884	9306	1209
885	9314	1198
886	9321	1187
887	9328	1176
888	9337	1165
889	9344	1154
890	9351	1144
891	9360	1133
892	9367	1122
893	9374	1111
894	9384	1100
895	9394	1090
896	9404	1079
897	9412	1069
898	9418	1058
899	9430	1047
900	9437	1036
901	9444	1026
902	9452	1015
903	9460	1004
904	9467	993
905	9474	983
906	9483	972
907	9490	961
908	9498	950
909	9506	940
910	9513	929
911	9521	918
912	9530	908
913	9536	897
914	9543	886
915	9552	876
916	9560	865
917	9567	854
918	9575	843
919	9582	833
920	9589	822
921	9597	811
922	9606	801
923	9613	790
924	9620	780
925	9629	769
926	9636	758
927	9645	748
928	9654	737
929	9661	727
930	9668	716
931	9677	706
932	9684	695
933	9691	684
934	9700	674
935	9707	663
936	9714	653
937	9723	642
938	9731	632
939	9738	621
940	9747	611
941	9754	600
942	9761	590
943	9768	579
944	9777	569
945	9784	558
946	9791	548
947	9800	537
948	9807	527
949	9815	516
950	9824	506
951	9833	495
952	9840	485
953	9849	474
954	9856	464
955	9863	453
956	9872	443
957	9881	433
958	9891	422
959	9901	412
960	9912	402
961	9924	392
962	9933	381
963	9945	371
964	9953	361
965	9963	350
966	9974	340
967	9984	330
968	9995	319
969	10005	309
970	10011	299
971	10021	288
972	10028	278
973	10035	267
974	10044	257
975	10051	247
976	10058	236
977	10067	226
978	10074	216
979	10081	205
980	10089	195
981	10096	185
982	10103	174
983	10111	164
984	10118	154
985	10125	143
986	10131	133
987	10140	123
988	10147	112
989	10154	102
990	10165	92
991	10172	82
992	10179	71
993	10188	61
994	10195	51
995	10203	40
996	10211	30
997	10218	20
998	10225	10
999	10234	0
