iter	Logloss
0	0.6065528006
1	0.5307456539
2	0.4787635612
3	0.4386730105
4	0.3815703735
5	0.3431379917
6	0.3120336457
7	0.2802486195
8	0.2462144255
9	0.2253331189
10	0.2051783418
11	0.1818495901
12	0.1651519071
13	0.1524213588
14	0.1404785362
15	0.1291975589
16	0.1184385944
17	0.1123338993
18	0.1043881441
19	0.09788000274
20	0.09202029835
21	0.08687428279
22	0.08196837209
23	0.07805920406
24	0.07407041253
25	0.07066497327
26	0.06719195046
27	0.06417005334
28	0.06207792439
29	0.06034851072
30	0.05816484476
31	0.05559648939
32	0.05415608512
33	0.05247954801
34	0.05116480282
35	0.04926160484
36	0.0481513178
37	0.04654137561
38	0.04523498449
39	0.04404348905
40	0.043219557
41	0.04264765737
42	0.0419015744
43	0.04129731686
44	0.04046619772
45	0.03985839721
46	0.03916329883
47	0.03849699208
48	0.03770722444
49	0.03706305941
50	0.0366099849
51	0.03615070898
52	0.03564191246
53	0.03506657217
54	0.03486717008
55	0.03456001706
56	0.03403381785
57	0.03361397649
58	0.0328277252
59	0.0326054528
60	0.03208923113
61	0.03166672724
62	0.03140115152
63	0.03094403461
64	0.03028818515
65	0.02973307359
66	0.02928633025
67	0.0290073394
68	0.02861437258
69	0.02828593531
70	0.02799025347
71	0.02750481299
72	0.02727186664
73	0.02711441331
74	0.02684248303
75	0.02652244615
76	0.02628956817
77	0.02597313481
78	0.02582318018
79	0.02565222564
80	0.02532338197
81	0.02503525772
82	0.02491092632
83	0.02456867342
84	0.02420392269
85	0.02409563784
86	0.02379437711
87	0.02362908252
88	0.02344377866
89	0.02331342929
90	0.02317097018
91	0.0229834265
92	0.02268829827
93	0.02257207211
94	0.02244798471
95	0.02232563949
96	0.02227768525
97	0.02216902688
98	0.02199298349
99	0.02172964389
100	0.02155712955
101	0.02145893441
102	0.0211661686
103	0.0211006365
104	0.02101193866
105	0.02087840837
106	0.02074909798
107	0.02070183326
108	0.02058798424
109	0.02056144243
110	0.02046646604
111	0.02038963592
112	0.02015886165
113	0.02005665326
114	0.02001301774
115	0.01985469319
116	0.01974388563
117	0.01963601802
118	0.01958115265
119	0.01936501322
120	0.01929332975
121	0.01914833035
122	0.0190309872
123	0.01886742111
124	0.01875426003
125	0.01849934851
126	0.01845465507
127	0.01834793402
128	0.01820380863
129	0.01812256723
130	0.01800386846
131	0.01790012412
132	0.01780427651
133	0.01775284457
134	0.01765245872
135	0.01740936746
136	0.01736019063
137	0.01724199066
138	0.01717145443
139	0.0170635075
140	0.01700729827
141	0.0168884645
142	0.01681082186
143	0.01672307222
144	0.01667691876
145	0.01660827912
146	0.01655721574
147	0.01643574728
148	0.01640038322
149	0.01627870845
150	0.01623975253
151	0.01608936283
152	0.01601465166
153	0.01599653241
154	0.01591939858
155	0.01589502282
156	0.01575662288
157	0.01570407023
158	0.01563831273
159	0.01555143837
160	0.01551224534
161	0.01544993961
162	0.01539041792
163	0.01531408027
164	0.01525583059
165	0.01521418855
166	0.01513239195
167	0.01506237906
168	0.01499524839
169	0.01493563833
170	0.01484978009
171	0.01475205877
172	0.01472304201
173	0.01462346022
174	0.0145806893
175	0.014465429
176	0.01436326583
177	0.01432200789
178	0.01428212873
179	0.01424150415
180	0.01417917254
181	0.01414847511
182	0.01410916556
183	0.01399924512
184	0.01396394392
185	0.01394140385
186	0.01384890838
187	0.01380619989
188	0.01378261287
189	0.0137404467
190	0.01369980682
191	0.01358639561
192	0.01355221457
193	0.01351168704
194	0.01347349751
195	0.01338784259
196	0.01333901352
197	0.01325021004
198	0.01319011525
199	0.01315439412
200	0.01309062892
201	0.01307060435
202	0.01301830846
203	0.01299537937
204	0.0129480412
205	0.01291333117
206	0.01290771658
207	0.01286770231
208	0.01279718395
209	0.01274971917
210	0.01271805139
211	0.0127018389
212	0.01267741964
213	0.01263713121
214	0.0126085803
215	0.01257040392
216	0.01248477533
217	0.01240128893
218	0.0123657602
219	0.01230196106
220	0.01225774827
221	0.01223142724
222	0.01212744196
223	0.01206426295
224	0.01201987792
225	0.01200637377
226	0.01196669665
227	0.01190821221
228	0.01186767335
229	0.01183270894
230	0.01180353489
231	0.0117788387
232	0.0117600713
233	0.01171241128
234	0.01168656803
235	0.01165719311
236	0.01163551956
237	0.01159610381
238	0.01157596755
239	0.01151569114
240	0.01146796028
241	0.01143276601
242	0.01138250716
243	0.01135573102
244	0.01132560336
245	0.01130469472
246	0.01126251672
247	0.01124952877
248	0.01122276341
249	0.01120974829
250	0.01115005902
251	0.01112325244
252	0.01103436665
253	0.01101840783
254	0.0109871837
255	0.01093141781
256	0.01090973814
257	0.01088488697
258	0.01086856377
259	0.01077947117
260	0.01076428714
261	0.01072911314
262	0.01068598676
263	0.01067678528
264	0.01063765014
265	0.01061081465
266	0.01058531844
267	0.01054206061
268	0.01052121219
269	0.01050161481
270	0.01048448564
271	0.01041606098
272	0.01040398783
273	0.01038886975
274	0.01034283334
275	0.01033106327
276	0.01030321434
277	0.01029526054
278	0.01028300411
279	0.01022978106
280	0.01016938679
281	0.01014553445
282	0.01012533448
283	0.01009558321
284	0.01007328873
285	0.01005728732
286	0.009969569807
287	0.00996956448
288	0.009908816416
289	0.009880009438
290	0.009856302411
291	0.009844943969
292	0.009823800076
293	0.00981168869
294	0.009749323273
295	0.009730358768
296	0.009714907087
297	0.009708276416
298	0.009693386429
299	0.009657017338
300	0.009642247542
301	0.009612307906
302	0.009590338742
303	0.009570952073
304	0.009551430654
305	0.009514615392
306	0.009492648955
307	0.009472855746
308	0.009432353716
309	0.009410433659
310	0.009396673774
311	0.009378085844
312	0.009284243791
313	0.009267386376
314	0.009248722036
315	0.009237458212
316	0.009217483889
317	0.009203286417
318	0.009178223449
319	0.009154160936
320	0.009127176981
321	0.009098471983
322	0.009086020723
323	0.009065584973
324	0.009045598792
325	0.009020105753
326	0.008996160869
327	0.008963553747
328	0.008945367972
329	0.008923460959
330	0.008898947807
331	0.008879364984
332	0.008852220811
333	0.008842250293
334	0.008820702306
335	0.008767331347
336	0.008749882322
337	0.008730440842
338	0.008716857166
339	0.008700029533
340	0.008686726627
341	0.00866817758
342	0.008654479303
343	0.008641559716
344	0.008611572476
345	0.008564238622
346	0.008544941539
347	0.008532050841
348	0.008510628956
349	0.00848249875
350	0.008478508421
351	0.008456433566
352	0.008446762179
353	0.008430210655
354	0.008415514752
355	0.008393133483
356	0.008350844776
357	0.008346853698
358	0.008322933581
359	0.008269924903
360	0.008254610694
361	0.008244270456
362	0.008230912387
363	0.008187478347
364	0.008173654575
365	0.008155967045
366	0.008118998779
367	0.008105700245
368	0.008101917085
369	0.008101890721
370	0.008098346611
371	0.008086903147
372	0.008083758154
373	0.008076564291
374	0.008049243655
375	0.008034461665
376	0.008006711825
377	0.007971694218
378	0.00793713864
379	0.007908471234
380	0.007895689052
381	0.00788014605
382	0.007865080302
383	0.007832319752
384	0.007822553786
385	0.007777167643
386	0.007761238914
387	0.007742688192
388	0.007730749574
389	0.007700809913
390	0.007689232814
391	0.00767742907
392	0.007668821761
393	0.007665475138
394	0.00765742574
395	0.007599298217
396	0.007591641722
397	0.007553790502
398	0.007541376865
399	0.007505905673
400	0.00749696251
401	0.007486041416
402	0.007469187645
403	0.007466055672
404	0.007463003633
